品目名,読み仮名,分別区分,廃棄方法,注意事項,持込が必要な品目か（TRUE/FALSE）,充電池か（TRUE/FALSE）,携帯電話・タブレットPCか（TRUE/FALSE）,その他の電子機器か（TRUE/FALSE）
ジュースのペットボトル,じゅーすのぺっとぼとる,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【ﾍﾟｯﾄﾎﾞﾄﾙ】,水ですすぐ,0,0,0,0
ジュースのペットボトルのフタ（プラスチック製）,じゅーすのぺっとぼとるのふた（ぷらすちっくせい）,区役所等の回収拠点へご協力ください。,回収拠点への持ち込みが難しい場合は「可燃ごみ」へ,,1,0,0,0
ジュースのペットボトルのラベル（プラスチック製）,じゅーすのぺっとぼとるのらべる（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
ジュースの缶,じゅーすのかん,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,水ですすぐ,0,0,0,0
ジュースの紙パック（内側にアルミ等のコーティングのあるものや500mℓ未満のもの）,じゅーすのかみぱっく（うちがわにあるみとうのこーてぃんぐのあるものや500みりりっとるみまんのもの）,可燃ごみ,,,0,0,0,0
ジュースの紙パック（内側にアルミ等のコーティングのないもの）（500mℓ以上）,じゅーすのかみぱっく（うちがわにあるみとうのこーてぃんぐのないもの）（500みりりっとるいじょう）,資源物,（古紙・布類）の【古紙（紙パック）】水ですすいで乾かしてからひもで十文字に束ねる,,0,0,0,0
じゅうたん,じゅうたん,可燃ごみまたは粗大ごみ,,,0,0,0,0
充電器（携帯電話用・PHS等の使用済の小型家電回収品目の付属品）,じゅうでんき（けいたいでんわよう・ぴーえいちえすとうのしようすみのこがたかでんかいしゅうひんもくのふぞくひん）,小型家電、不燃ごみまたは店頭回収協力店,各区役所などの使用済小型家電回収ボックスへ／モバイル・リサイクルネットワーク（回収協力店が検索できます）,,1,0,0,1
充電器（その他）,じゅうでんき（そのた）,不燃ごみ,,,0,0,0,0
充電式電池（ニカド電池など）,じゅうでんしきでんち（にかどでんちなど）,市の拠点回収または店舗回収協力店,一般社団法人JBRC（回収協力店が検索できます）／市内の環境事業所、新浜リサイクルセンターに持ち込む。,,1,1,0,0
柔道着,じゅうどうぎ,可燃ごみ,,,0,0,0,0
収納ケース,しゅうのうけーす,粗大ごみ,,,0,0,0,0
収納庫,しゅうのうこ,粗大ごみ,,,0,0,0,0
ジュラルミンケース,じゅらるみんけーす,粗大ごみ,,,0,0,0,0
シュレッダー（手動・小型）,しゅれっだー（しゅどう・こがた）,不燃ごみ,,,0,0,0,0
シュレッダー（その他）,しゅれっだー（そのた）,粗大ごみ,,,0,0,0,0
シュレッダーにかけた紙,しゅれっだーにかけたかみ,可燃ごみ,,,0,0,0,0
瞬間湯沸し器（台所用）,しゅんかんゆわかしき（だいどころよう）,粗大ごみ,,,0,0,0,0
消火器,しょうかき,排出禁止物等,(株)消火器リサイクル推進センターへご相談ください,,1,0,0,0
消火剤（スプレー式）,しょうかざい（すぷれーしき）,有害ごみ,,,0,0,0,0
定規（プラスチック製）,じょうぎ（ぷらすちっくせい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
定規（木製・竹製）,じょうぎ（もくせいせいたけせい）,可燃ごみ,,,0,0,0,0
将棋の駒（木製）,しょうぎのこま（もくせい）,可燃ごみ,,,0,0,0,0
将棋の駒（木製以外）,しょうぎのこま（もくせいいがい）,不燃ごみ,,,0,0,0,0
将棋盤（厚さ15cm以下）,しょうぎばん（あつさ15せんちいか）,不燃ごみまたは粗大ごみ,木製で厚さが5cm以下であれば「可燃ごみ」へ,,0,0,0,0
将棋盤（厚さ15cm超）,しょうぎばん（あつさ15せんちこ）,排出禁止物等,,,1,0,0,0
障子,しょうじ,粗大ごみ,,,0,0,0,0
消臭剤,しょうしゅうざい,可燃ごみ,,,0,0,0,0
浄水器（カートリッジを含む）,じょうすいき（かーとりっじをふくむ）,不燃ごみ,,,0,0,0,0
樟脳（防虫剤）,しょうのう（ぼうちゅうざい）,可燃ごみ,,,0,0,0,0
照明器具（シャンデリア・スタンド照明など）,しょうめいきぐ（しゃんでりあ・すたんどしょうめいなど）,不燃ごみまたは粗大ごみ,,,0,0,0,0
しょうゆのびん・しょうゆさし（ガラス製）,しょうゆのびん・しょうゆさし（がらすせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
しょうゆのペットボトル,しょうゆのぺっとぼとる,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【ﾍﾟｯﾄﾎﾞﾄﾙ】,水ですすぐ,0,0,0,0
しょうゆのペットボトルのフタ,しょうゆのぺっとぼとるのふた,可燃ごみ,,,0,0,0,0
じょうろ,じょうろ,市の拠点回収または不燃ごみ,ポリプロピレン製、ポリエチレン製、ポリスチレン製のものは、各区役所等に設置の回収ボックスへ。,,1,0,0,0
